"tconst","title","FirstGenre","genres","titleType","runtimeMinutes","isAdult","averageRating","numVotes","directors","primaryName","birthYear","deathYear","primaryProfession"
"tt8089220","Selfie","Biography","Biography,Drama","movie","80","0",1.1,353,"nm0043362","Hülya Avsar","1963",NA,"actress,director,writer"
"tt8400104","Veronica","Comedy","Comedy,Short","short","11","0",8.7,21,"nm0043855","Reiko Aylesworth","1972",NA,"actress,director,producer"
"tt8285294","Beryozka","Drama","Drama,Romance","tvSeries","51","0",5.8,33,"nm0052993","Aleksandr Baranov","1955",NA,"director,writer"
"tt8901264","Dvash Shachor, Shirat Chayav shel Avraham Sutskever","Documentary","Documentary","movie","76","0",8.2,13,"nm0053268","Uri Barbash","1946",NA,"director,writer"
"tt7461200","The Oath","Comedy","Comedy,Thriller","movie","93","0",5.6,4905,"nm0054697","Ike Barinholtz","1977",NA,"actor,producer,writer"
"tt8516554","El Lobista","Drama","Drama","tvMiniSeries","60","0",7.2,343,"nm0056355","Daniel Barone","1965",NA,"director,assistant_director,actor"
"tt7471538","Eve","Drama","Drama,Short","short","21","0",7.3,7,"nm0062866","Susan Bay Nimoy","1943",NA,"actress,producer,miscellaneous"
"tt8538808","1918 Aufstand der Matrosen","Documentary","Documentary,Drama,History","tvMovie","89","0",6.2,30,"nm0065456","Jens Becker","1963",NA,"director,writer,miscellaneous"
"tt7472330","Morning, Noon & Night","Comedy","Comedy","movie","101","0",4.1,52,"nm0065471","Josh Becker","1958",NA,"director,writer,actor"
"tt8055880","Waldheims Walzer","Documentary","Documentary,History","movie","93","0",7.5,526,"nm0065644","Ruth Beckermann","1952",NA,"director,writer,producer"
"tt4481066","Giant Little Ones","Drama","Drama","movie","93","0",7.2,9431,"nm0067101","Keith Behrman","1963",NA,"writer,director,producer"
"tt8395524","La lotta","Drama","Drama,Short","short","16","0",6,27,"nm0069166","Marco Bellocchio","1939",NA,"writer,director,actor"
"tt9105400","D'où vient cet air lointain? Chronique d'une vie en cinéma","Biography","Biography,Documentary","tvMovie","88","0",6.7,10,"nm0069198","Yannick Bellon","1924","2019","director,writer,editor"
"tt8306196","Change the World","Music","Music,Short","short","38","0",8.1,9,"nm0071537","Angelena Bonet","1976",NA,"actress,editor,producer"
"tt7301432","Ancestor","Horror","Horror,Short","short","16","0",3.1,24,"nm0073884","Robert Berg","1955",NA,"cinematographer,editor,producer"
"tt6984530","En las estrellas","Drama","Drama","movie","86","0",6.3,534,"nm0077345","Zoe Berriatúa","1978",NA,"actor,writer,director"
"tt7480724","Sauvages","Drama","Drama,Romance","movie","92","0",5.2,54,"nm0077533","Dennis Berry","1944","2021","director,actor,writer"
"tt7886234","Background","Comedy","Comedy,Short","short","14","0",7.1,34,"nm0079013","Toni Bestard","1973",NA,"director,producer,writer"
"tt8178992","Amazon Hot Box","Action","Action,Drama,Horror","movie","82","0",3.9,1442,"nm0081023","James Bickert","1967",NA,"art_department,producer,writer"
