Timestamp;Date;Cour
1667565076.0;2022-11-04 13:31:16;16.32
1667565107.0;2022-11-04 13:31:47;16.325
1667565139.0;2022-11-04 13:32:19;16.325
1667565170.0;2022-11-04 13:32:50;16.32
1667565200.0;2022-11-04 13:33:20;16.34
1667565231.0;2022-11-04 13:33:51;16.335
1667565262.0;2022-11-04 13:34:22;16.335
1667565293.0;2022-11-04 13:34:53;16.345
1667565324.0;2022-11-04 13:35:24;16.34
1667565355.0;2022-11-04 13:35:55;16.35
1667565385.0;2022-11-04 13:36:25;16.37
1667565416.0;2022-11-04 13:36:56;16.37
1667565447.0;2022-11-04 13:37:27;16.355
1667565478.0;2022-11-04 13:37:58;16.35
1667565509.0;2022-11-04 13:38:29;16.35
1667565540.0;2022-11-04 13:39:00;16.35
1667565571.0;2022-11-04 13:39:31;16.35
1667565601.0;2022-11-04 13:40:01;16.35
1667565632.0;2022-11-04 13:40:32;16.345
1667565663.0;2022-11-04 13:41:03;16.345
1667565694.0;2022-11-04 13:41:34;16.33
1667565725.0;2022-11-04 13:42:05;16.33
1667565756.0;2022-11-04 13:42:36;16.32
1667565787.0;2022-11-04 13:43:07;16.32
1667565818.0;2022-11-04 13:43:38;16.32
1667565848.0;2022-11-04 13:44:08;16.33
1667565879.0;2022-11-04 13:44:39;16.355
1667565910.0;2022-11-04 13:45:10;16.355
1667565941.0;2022-11-04 13:45:41;16.355
1667565972.0;2022-11-04 13:46:12;16.365
1667566003.0;2022-11-04 13:46:43;16.37
1667566033.0;2022-11-04 13:47:13;16.385
1667566064.0;2022-11-04 13:47:44;16.385
1667566095.0;2022-11-04 13:48:15;16.375
1667566125.0;2022-11-04 13:48:45;16.375
1667566156.0;2022-11-04 13:49:16;16.37
1667566187.0;2022-11-04 13:49:47;16.37
1667566218.0;2022-11-04 13:50:18;16.37
1667566248.0;2022-11-04 13:50:48;16.365
1667566279.0;2022-11-04 13:51:19;16.365
1667566310.0;2022-11-04 13:51:50;16.365
1667566340.0;2022-11-04 13:52:20;16.365
1667566371.0;2022-11-04 13:52:51;16.365
1667566402.0;2022-11-04 13:53:22;16.365
1667566433.0;2022-11-04 13:53:53;16.36
1667566463.0;2022-11-04 13:54:23;16.36
1667566494.0;2022-11-04 13:54:54;16.36
1667566525.0;2022-11-04 13:55:25;16.365
1667566556.0;2022-11-04 13:55:56;16.365
1667566586.0;2022-11-04 13:56:26;16.365
1667566617.0;2022-11-04 13:56:57;16.37
1667566648.0;2022-11-04 13:57:28;16.365
1667566678.0;2022-11-04 13:57:58;16.375
1667566709.0;2022-11-04 13:58:29;16.375
1667566740.0;2022-11-04 13:59:00;16.38
1667566771.0;2022-11-04 13:59:31;16.38
1667566802.0;2022-11-04 14:00:02;16.385
1667566832.0;2022-11-04 14:00:32;16.385
1667566863.0;2022-11-04 14:01:03;16.375
1667566894.0;2022-11-04 14:01:34;16.38
1667566924.0;2022-11-04 14:02:04;16.38
1667566955.0;2022-11-04 14:02:35;16.385
1667566986.0;2022-11-04 14:03:06;16.385
1667567016.0;2022-11-04 14:03:36;16.385
1667567047.0;2022-11-04 14:04:07;16.385
1667567078.0;2022-11-04 14:04:38;16.38
1667567109.0;2022-11-04 14:05:09;16.38
1667567139.0;2022-11-04 14:05:39;16.385
1667567170.0;2022-11-04 14:06:10;16.38
1667567201.0;2022-11-04 14:06:41;16.37
1667567232.0;2022-11-04 14:07:12;16.37
1667567262.0;2022-11-04 14:07:42;16.38
1667567293.0;2022-11-04 14:08:13;16.375
1667567324.0;2022-11-04 14:08:44;16.375
1667567354.0;2022-11-04 14:09:14;16.365
1667567385.0;2022-11-04 14:09:45;16.365
1667567416.0;2022-11-04 14:10:16;16.365
1667567447.0;2022-11-04 14:10:47;16.365
1667567478.0;2022-11-04 14:11:18;16.365
1667567509.0;2022-11-04 14:11:49;16.365
1667567539.0;2022-11-04 14:12:19;16.365
1667567570.0;2022-11-04 14:12:50;16.365
1667567601.0;2022-11-04 14:13:21;16.37
1667567632.0;2022-11-04 14:13:52;16.37
1667567662.0;2022-11-04 14:14:22;16.365
1667567693.0;2022-11-04 14:14:53;16.38
1667567723.0;2022-11-04 14:15:23;16.365
1667567754.0;2022-11-04 14:15:54;16.36
1667567785.0;2022-11-04 14:16:25;16.37
1667567816.0;2022-11-04 14:16:56;16.37
1667567846.0;2022-11-04 14:17:26;16.38
1667567877.0;2022-11-04 14:17:57;16.38
1667567908.0;2022-11-04 14:18:28;16.385
1667567938.0;2022-11-04 14:18:58;16.38
1667567969.0;2022-11-04 14:19:29;16.38
1667568000.0;2022-11-04 14:20:00;16.38
1667568030.0;2022-11-04 14:20:30;16.38
1667568061.0;2022-11-04 14:21:01;16.38
1667568092.0;2022-11-04 14:21:32;16.38
1667568123.0;2022-11-04 14:22:03;16.38
1667568153.0;2022-11-04 14:22:33;16.38
1667568184.0;2022-11-04 14:23:04;16.38
1667568215.0;2022-11-04 14:23:35;16.38
1667568246.0;2022-11-04 14:24:06;16.38
1667568276.0;2022-11-04 14:24:36;16.38
1667568307.0;2022-11-04 14:25:07;16.38
1667568338.0;2022-11-04 14:25:38;16.38
1667568368.0;2022-11-04 14:26:08;16.38
1667568399.0;2022-11-04 14:26:39;16.38
1667568430.0;2022-11-04 14:27:10;16.38
1667568460.0;2022-11-04 14:27:40;16.38
1667568491.0;2022-11-04 14:28:11;16.395
1667568522.0;2022-11-04 14:28:42;16.4
1667568553.0;2022-11-04 14:29:13;16.4
1667568583.0;2022-11-04 14:29:43;16.405
1667568614.0;2022-11-04 14:30:14;16.405
1667568645.0;2022-11-04 14:30:45;16.425
1667568676.0;2022-11-04 14:31:16;16.415
1667568706.0;2022-11-04 14:31:46;16.415
1667568737.0;2022-11-04 14:32:17;16.42
1667568768.0;2022-11-04 14:32:48;16.405
1667568799.0;2022-11-04 14:33:19;16.41
1667568830.0;2022-11-04 14:33:50;16.41
1667568860.0;2022-11-04 14:34:20;16.41
1667568891.0;2022-11-04 14:34:51;16.415
1667568922.0;2022-11-04 14:35:22;16.42
1667568952.0;2022-11-04 14:35:52;16.42
1667568983.0;2022-11-04 14:36:23;16.415
1667569014.0;2022-11-04 14:36:54;16.415
1667569045.0;2022-11-04 14:37:25;16.425
1667569075.0;2022-11-04 14:37:55;16.425
1667569106.0;2022-11-04 14:38:26;16.425
1667569137.0;2022-11-04 14:38:57;16.425
1667569478.0;2022-11-04 14:44:38;16.425
1667569509.0;2022-11-04 14:45:09;16.395
1667569540.0;2022-11-04 14:45:40;16.395
1667569571.0;2022-11-04 14:46:11;16.385
1667569602.0;2022-11-04 14:46:42;16.39
1667569633.0;2022-11-04 14:47:13;16.395
1667569664.0;2022-11-04 14:47:44;16.395
1667569695.0;2022-11-04 14:48:15;16.395
1667569726.0;2022-11-04 14:48:46;16.395
1667569757.0;2022-11-04 14:49:17;16.39
1667569788.0;2022-11-04 14:49:48;16.38
1667569819.0;2022-11-04 14:50:19;16.385
1667569850.0;2022-11-04 14:50:50;16.375
1667569881.0;2022-11-04 14:51:21;16.365
1667569912.0;2022-11-04 14:51:52;16.36
1667569943.0;2022-11-04 14:52:23;16.365
1667569974.0;2022-11-04 14:52:54;16.365
1667570005.0;2022-11-04 14:53:25;16.37
1667570035.0;2022-11-04 14:53:55;16.37
1667570066.0;2022-11-04 14:54:26;16.37
1667570097.0;2022-11-04 14:54:57;16.375
1667570128.0;2022-11-04 14:55:28;16.375
1667570159.0;2022-11-04 14:55:59;16.375
1667570190.0;2022-11-04 14:56:30;16.375
1667570221.0;2022-11-04 14:57:01;16.38
1667570252.0;2022-11-04 14:57:32;16.38
1667570283.0;2022-11-04 14:58:03;16.375
1667570314.0;2022-11-04 14:58:34;16.375
1667570345.0;2022-11-04 14:59:05;16.37
1667570375.0;2022-11-04 14:59:35;16.37
1667570406.0;2022-11-04 15:00:06;16.37
1667570438.0;2022-11-04 15:00:38;16.38
1667570468.0;2022-11-04 15:01:08;16.375
1667570499.0;2022-11-04 15:01:39;16.37
1667570530.0;2022-11-04 15:02:10;16.375
1667570561.0;2022-11-04 15:02:41;16.375
1667570592.0;2022-11-04 15:03:12;16.38
1667570623.0;2022-11-04 15:03:43;16.395
1667570653.0;2022-11-04 15:04:13;16.4
1667570684.0;2022-11-04 15:04:44;16.4
1667570715.0;2022-11-04 15:05:15;16.395
1667570746.0;2022-11-04 15:05:46;16.41
1667570777.0;2022-11-04 15:06:17;16.41
1667570808.0;2022-11-04 15:06:48;16.42
1667570839.0;2022-11-04 15:07:19;16.42
1667570870.0;2022-11-04 15:07:50;16.405
1667570901.0;2022-11-04 15:08:21;16.405
